"Authors","Author full names","Author(s) ID","Title","Year","Source title","Cited by","DOI","Link","Abstract","Document Type","Source"
"Leung J.S.C.; Cheng M.M.W.; Chik P.Y.Y.","Leung, Jessica Shuk Ching (56452352900); Cheng, Maurice Man Wai (57212302715); Chik, Polly Ying Yuk (58261546400)","56452352900; 57212302715; 58261546400","Fostering systems thinking about socioscientific issues","2025","International Journal of Science Education","1","10.1080/09500693.2024.2360707","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196182409&doi=10.1080%2f09500693.2024.2360707&partnerID=40&md5=dc94091c92a219cbb45f3f16c23dec34","Systems thinking is essential for understanding wicked real-world problems and suggesting solutions. This is the case for addressing socioscientific issues (SSI) that involve inter-related personal, socio-political, cultural, scientific, economic and moral dimensions. It is challenging for teachers to support students in adopting and practising systems thinking when they explore SSI. In this study, we tested the extent to which causal loop diagramming (CLD) developed students’ systems thinking. We examined a 2-week teaching unit that used a computer-based CLD tool to foster students’ systems thinking about obesity in a first-year university general education course. Ninety-six students from a variety of majors/disciplines participated in this study. They worked in groups and engaged in reading news, proposing actions while creating causal loop diagrams about factors that contributed to obesity and approaches to tackle the issue. We analysed their pre-, mid-, and post-unit causal loop diagrams (3 × 26 groups) and weekly reflective memos. The data revealed their significant shift towards a systems approach of thinking. The reflective memos showed that the shift was afforded by cycles of construct–revise–use as they created the diagrams. The findings suggest the potential of causal loop diagramming to foster systems thinking in the sense-making and decision-making of SSI. © 2024 Informa UK Limited, trading as Taylor & Francis Group.","Article","Scopus"
"Yang Y.; Yuan K.; Zhu G.; Jiao L.","Yang, Yuqin (57164390600); Yuan, Kaicheng (57856396100); Zhu, Gaoxia (57203974368); Jiao, Lizhen (57203269285)","57164390600; 57856396100; 57203974368; 57203269285","Collaborative analytics-enhanced reflective assessment to foster conducive epistemic emotions in knowledge building","2024","Computers and Education","7","10.1016/j.compedu.2023.104950","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177164192&doi=10.1016%2fj.compedu.2023.104950&partnerID=40&md5=bc077bc0145571d0d3ce069b756703f3","Fostering conducive epistemic emotions to students' knowledge building (KB) is critical but challenging. Considering the potential role of metacognition and KB in promoting conducive epistemic emotions, we designed a quasi-experiment and examined the influence of collaborative analytics-enhanced reflective assessment (demonstrate metacognition) on conducive epistemic emotions to students' KB. The experimental class included 48 undergraduates engaged in KB inquiries enhanced by collaborative analytics-enhanced reflective assessment. In contrast, the comparison class included 46 undergraduates engaged in KB enhanced by portfolio assessment. Students' online Knowledge Forum discourse was collected and coded regarding the demonstrated epistemic emotions. Comparative analysis of the frequency distribution and lag sequential patterns of epistemic emotions revealed that the collaborative analytics-enhanced reflective assessment design fostered conducive epistemic emotions to KB among the undergraduates. Correlation analysis revealed positive correlations between conducive epistemic emotions, higher-level KB discourse moves, and individual knowledge creation. The findings enrich our understanding of promoting undergraduates' conducive epistemic emotions and uncover the relationships between metacognition, epistemic emotions, and KB practices. It provides implications for developing a reflective and collaborative culture, providing scaffoldings and opportunities for expressing and analyzing epistemic emotions, utilizing prompt sheets and collective reflections to enhance the productive use of analytics, and fostering a conducive emotional experience for students. © 2023 Elsevier Ltd","Article","Scopus"
"Eloy A.; Ferraz T.P.; Harumi Castelo Onisaki H.; Saggio E.; Karaguilla Ficheman I.; de Deus Lopes R.","Eloy, Adelmo (57219270134); Ferraz, Thomas Palmeira (57376134800); Harumi Castelo Onisaki, Hadassa (59744751700); Saggio, Elena (59744418700); Karaguilla Ficheman, Irene (59743926200); de Deus Lopes, Roseli (24758121700)","57219270134; 57376134800; 59744751700; 59744418700; 59743926200; 24758121700","Science and engineering for what? A large-scale analysis of theme selection in K-12 science and engineering fair projects","2025","International Journal of Science Education","0","10.1080/09500693.2025.2488409","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002999098&doi=10.1080%2f09500693.2025.2488409&partnerID=40&md5=adad6e31c4bc928ea4a8cbdf9c07b4c9","Science and Engineering Fairs (SEFs) play a pivotal role in K-12 education, enabling students to engage in science and engineering practices. Particularly, they allow students to experience authentic and open inquiry processes, by defining which themes, questions and approaches will guide their efforts. This study analyses over 5,000 projects presented at FEBRACE, a national science fair in Brazil, over a span of 20 years, employing topic modelling to identify and examine the predominant themes guiding students’ investigations and designs. The findings indicate a diverse range of topics that vary significantly across time, region, and educational settings. We argue these findings illustrate the authentic and open aspects of students’ inquiries, highlighting SEFs as spaces for culturally responsive science learning. Furthermore, the methodology employed in this study can serve as a valuable tool for similar analyses in other educational contexts, encouraging further exploration of theme selection and project design in SEFs. Finally, we emphasise the importance of equipping both students and teachers with resources to engage a more diverse range of participants and support the varied interests that students bring to their scientific and engineering endeavours, both within and beyond the context of SEFs. © 2025 Informa UK Limited, trading as Taylor & Francis Group.","Article","Scopus"
"Park H.; Zhang J.","Park, Hyejin (57194378600); Zhang, Jianwei (59553667500)","57194378600; 59553667500","Teacher noticing to scaffold knowledge-building inquiry in two grade 5 classrooms","2025","Instructional Science","1","10.1007/s11251-024-09703-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217672983&doi=10.1007%2fs11251-024-09703-6&partnerID=40&md5=0e37fd573429c35c148699221a4b402f","In classrooms that implement student-driven, collaborative knowledge building, there is a lot for teachers to attend to in student work, alongside numerous ways of interpreting and responding to what is noticed, giving rise to countless possibilities of furthering students’ inquiry and discourse. The current study aims to make sense of these possibilities by identifying patterns in a veteran teacher’s reflective noticing of student inquiry in two Grade 5 classrooms. Using a Knowledge Building approach, the fifth graders studied the human body systems supported by a collaborative online environment (Knowledge Forum) over an eight-month period. The teacher kept weekly journals to record her reflective noticing of student inquiry and envisioning (planning) of possible ways to facilitate deeper knowledge building work. Using a grounded theory approach, we analyzed the teacher’s reflective journal entries to identify critical themes characterizing the teacher’s attention, interpretation, and planning of responsive moves. Visual network analysis further traced multiple pathways of teacher noticing and envisioning, each involving attending to specific changes in student inquiry and discourse, interpreting these changes within a temporal context, and envisioning responsive actions that could be taken up with her students. The teacher’s responsive moves focused on leveraging student-generated ideas to unfold new possibilities of deepening, expanding, or better co-regulating their inquiry and discourse. The findings shed light on how teachers may work with emergent processes of student-driven inquiry to scaffold ever-deeper knowledge building in a collaborative community. © The Author(s), under exclusive licence to Springer Nature B.V. 2025.","Article","Scopus"
"Eymur G.; Çetin P.S.","Eymur, Gülüzar (55825338100); Çetin, Pınar Seda (25647224900)","55825338100; 25647224900","Investigating the role of an inquiry-based science lab on students’ scientific literacy","2024","Instructional Science","4","10.1007/s11251-024-09672-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198736059&doi=10.1007%2fs11251-024-09672-w&partnerID=40&md5=ffb8ffe7657226df351e1a3e6c4b9baf","Promotion of students’ scientific literacy has long been and continues to be a central goal for reform efforts in science education. Although there is a great number of research conducted to evaluate student’s scientific literacy, less is known about how we can improve students’ scientific literacy through variety of scientific practices. In this study we aimed to refer to this shortcoming in the literature by examining the effect of argument driven inquiry (ADI) instructional model to promote 8th grade students’ scientific literacy. A mixed method quasi experimental design was used in this study. Sixty-seven eighth grade students from the same public school attended the study. Two intact classes were randomly assigned either in structured inquiry (SI) or ADI groups. The data sources included a Scientific Literacy Assessment (SLA) and semi-structured interviews. The results indicated that students experiencing ADI instruction scored higher on the SLA-D test and personal epistemology dimension of SLA-MB test than students experiencing SI instruction. The results propose that engaging students in meaningful scientific practices may support their scientific literacy. © The Author(s) 2024.","Article","Scopus"
"Kramer S.L.; Scull J.; Porter A.; Massey C.M.; Merlino F.J.; Baker J.Y.","Kramer, Steven L. (38961440800); Scull, Janie (56458400000); Porter, Andrew (57210728301); Massey, Christine M. (7004637824); Merlino, F. Joseph (56821853400); Baker, John Y. (57122301600)","38961440800; 56458400000; 57210728301; 7004637824; 56821853400; 57122301600","Can either using cognitive science principles or improving teacher content knowledge boost student achievement in middle school science?","2024","Journal of Research in Science Teaching","3","10.1002/tea.21923","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181249930&doi=10.1002%2ftea.21923&partnerID=40&md5=1fb421e6bd38cee14a9286d6570b852d","This study used a cluster randomized controlled trial to investigate the effectiveness of two approaches to increasing middle school students' science learning when using an inquiry-based science curriculum. Eighty-nine schools, with 253 teachers and 20,591 students, were randomly assigned into one of three conditions: (a) a treatment condition in which the textbook curriculum was modified based on three principles of cognitive science coupled with teacher professional development (PD), (b) a second treatment condition in which teachers received PD designed to improve their knowledge of the science content, and (c) a business-as-usual control group. The cognitive science treatment had a small but statistically significant positive effect on content learning, with a stronger impact on students of higher prior achievement. Compared to business-as-usual, the intervention to increase teacher content knowledge had no impact. © 2024 National Association for Research in Science Teaching.","Article","Scopus"
"de Jong T.; Lazonder A.W.; Chinn C.A.; Fischer F.; Gobert J.; Hmelo-Silver C.E.; Koedinger K.R.; Krajcik J.S.; Kyza E.A.; Linn M.C.; Pedaste M.; Scheiter K.; Zacharia Z.C.","de Jong, Ton (7102297810); Lazonder, Ard W. (6603241208); Chinn, Clark A. (7003704186); Fischer, Frank (35760191600); Gobert, Janice (7007169230); Hmelo-Silver, Cindy E. (6507383226); Koedinger, Ken R. (6603678234); Krajcik, Joseph S. (6603708402); Kyza, Eleni A. (8790278700); Linn, Marcia C. (7006538185); Pedaste, Margus (12788906800); Scheiter, Katharina (6507519353); Zacharia, Zacharias C. (6602995522)","7102297810; 6603241208; 7003704186; 35760191600; 7007169230; 6507383226; 6603678234; 6603708402; 8790278700; 7006538185; 12788906800; 6507519353; 6602995522","Beyond inquiry or direct instruction: Pressing issues for designing impactful science learning opportunities","2024","Educational Research Review","6","10.1016/j.edurev.2024.100623","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199690615&doi=10.1016%2fj.edurev.2024.100623&partnerID=40&md5=47547aa013681d0fd14978686e87df6e","We recently published a paper in this journal (de Jong et al., 2023) that presented an overview of the literature on learning in science domains through direct instruction and guided inquiry-based learning. This paper was, in part, a response to Zhang et al. (2022) who argued that the evidence firmly supported the superiority of direct instruction over inquiry learning. Sweller et al. (2024) recently replied by repeating this claim and also argued that we had ignored evidence against our position, questioned our analysis of the evidence, and claimed that direct instruction (unlike inquiry learning) is grounded in a strong theory. In this rebuttal we start by reemphasizing the conclusion from our previous paper: adequate instruction always involves different strategies, which should be thoughtfully selected based on contextual factors. Next, we demonstrate that inquiry-based learning is firmly rooted in both cognitive and socio-cultural theories of learning and conclude from recent literature that Sweller et al.‘s belief that direct instruction is overall more effective than inquiry learning is not supported by the data from empirical studies. © 2024 The Authors","Review","Scopus"
"Siani M.; Dubovi I.; Borushko A.; Haskel-Ittah M.","Siani, Merav (56997130100); Dubovi, Ilana (57194381219); Borushko, Anna (57193906256); Haskel-Ittah, Michal (55350170500)","56997130100; 57194381219; 57193906256; 55350170500","Teaching immunology in the 21st century: a scoping review of emerging challenges and strategies","2024","International Journal of Science Education","6","10.1080/09500693.2023.2300380","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181706682&doi=10.1080%2f09500693.2023.2300380&partnerID=40&md5=c0564cf6b39bff8b53a918762d354a26","Immunology, a complex and rapidly evolving biological field, serves dual educational goals: training healthcare professionals and immunologists as well as promoting immune literacy among laypeople. This study conducted a scoping review of the literature to explore different aspects of immunology education, examining various contexts, levels, and content areas, including cognitive and motivational challenges. In addition, analysis covered different teaching strategies and research methodologies. Eight hundred and seventy-four articles were screened, and 20 articles proceeded to full-text analysis. Notably, the majority of the analysed studies concentrated on undergraduate education, emphasising strategies for teaching immunology, with a heavy reliance on quantitative research methods. Teaching strategies that were influential for improving the knowledge of the students were, for example, using games, using simulations and visualisations, using hands on experiments and self-directed learning. The content of the reviewed articles primarily revolved around topics related to innate and adaptive immunity, basic immunology, and immune system diseases. There was less emphasis on advanced immunology and on addressing the inherent complexity of the subject and even less on methods to motivate students to engage with immunology. Practical implications and suggestions for future research are described considering both healthcare practitioner training and immune literacy for laypeople. © 2024 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","Article","Scopus"
"Lee H.-S.; Gweon G.-H.; Webb A.; Damelin D.; Dorsey C.","Lee, Hee-Sun (14321903600); Gweon, Gey-Hong (6603732307); Webb, Aubree (57226496751); Damelin, Dan (41460954100); Dorsey, Chad (55800585300)","14321903600; 6603732307; 57226496751; 41460954100; 55800585300","Measuring epistemic knowledge development related to scientific experimentation practice: A construct modeling approach","2024","Science Education","3","10.1002/sce.21836","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173432967&doi=10.1002%2fsce.21836&partnerID=40&md5=ad7ca1c3ee02c4ac7b509ff17bf0ada2","This study addresses the measurement of high school students' epistemic knowledge associated with scientific experimentation (EKSE) which concerns how scientific experimentation generates knowledge and why that knowledge is justified. Based on philosophical, educational standards, and literature analyses, an EKSE construct is characterized as (1) underlying students' decisions and reasoning elicited during experiment design, data collection/measurement, and data analysis/interpretation and (2) progressing in five levels of sophistication: no information, nascent, dogmatic, contextualized, and reflective. This study psychometrically examined the structure of the EKSE construct using the construct modeling approach. An instrument was designed to ask students decisions and reasoning encountered while carrying out the activities embedded in experimental inquiry. High school students took the instrument as a pretest and a posttest to a physics curriculum where they learned to carry out independent scientific experiments. Results indicate that (1) all decisions and reasoning taking place during experiment design, data collection/measurement, and data analysis/interpretation contribute to the EKSE construct, (2) epistemic knowledge develops in the hypothesized order, (3) scientifically aligned decisions are likely to occur when students' epistemic knowledge is at or higher than the dogmatic level, and (4) students' EKSE can improve after engaging in a curriculum that encourages independent scientific experimentation with materials. Implications of these results and further research are discussed. © 2023 Wiley Periodicals LLC.","Article","Scopus"
"Bielik T.; Krell M.","Bielik, Tom (45460965100); Krell, Moritz (55812296600)","45460965100; 55812296600","Developing and evaluating the extended epistemic vigilance framework","2025","Journal of Research in Science Teaching","0","10.1002/tea.21983","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204002438&doi=10.1002%2ftea.21983&partnerID=40&md5=7d84993e606337f92b7789f8baa1ec47","In science education, epistemic vigilance plays a key role in the development of students' critical thinking by supporting students' abilities to evaluate the expertise level of the source and to evaluate the claim itself, using rigorous scientific standards and appropriate argumentation heuristics. Based on previous studies, which suggested two aspects of epistemic vigilance—reflecting the source of information and the claim that is made—we developed the Extended Epistemic Vigilance Framework (EEVF) that includes an additional aspect of evaluating the receiver. In an empirical exploratory pilot study, we evaluated the reliability and validity of an EEVF-based category system and investigated to what extent the EEVF can be used to characterize changes in biology graduate students' epistemic vigilance after participating in a critical thinking course. Results show that the EEVF-based category system includes reliable and valid categories for identifying students' epistemic vigilance. A statistically significant increase with a small effect size was found in students' epistemic vigilance regarding the reliability of the source and the references used to support the claim following their participation in the critical thinking course. However, a statistically significant decrease with a small effect size was found regarding the awareness of the aspects of the one-sidedness of the claim, the context of the claim, and cognitive biases and socioemotional influences on the receiver. In general, these findings indicate that the EEVF offers an improved framework to analyze students' epistemic vigilance more comprehensively. © 2024 The Author(s). Journal of Research in Science Teaching published by Wiley Periodicals LLC on behalf of National Association for Research in Science Teaching.","Article","Scopus"
